Date,Year,Model,Revenue,Quantity Sold,Region,Country,Channel
01/01/2019,2019.0,BMW X2,94654.0,2.0,Africa,Nigeria,Wholesale
01/01/2019,2019.0,BMW M4,111259.0,1.0,Africa,Kenya,Wholesale
02/01/2019,2019.0,BMW 6 Series,94881.0,3.0,South America,Chile,Wholesale
04/01/2019,2019.0,BMW X2,35293.0,4.0,Asia,South Korea,Wholesale
04/01/2019,2019.0,BMW M2,76275.0,5.0,Asia,Japan,Wholesale
05/01/2019,2019.0,BMW iX3,74929.0,3.0,Asia,South Korea,Wholesale
06/01/2019,2019.0,BMW 8 Series,82563.0,4.0,South America,Colombia,Dealership
07/01/2019,2019.0,BMW 7 Series,71767.0,3.0,South America,Chile,Wholesale
07/01/2019,2019.0,BMW iX3,67202.0,4.0,Africa,Morocco,Wholesale
07/01/2019,2019.0,BMW i4,82195.0,5.0,Asia,Japan,Wholesale
08/01/2019,2019.0,BMW X4,106309.0,3.0,Europe,Italy,Wholesale
08/01/2019,2019.0,BMW M3,35983.0,4.0,Europe,Spain,Wholesale
08/01/2019,2019.0,BMW X6,74863.0,1.0,South America,Peru,Dealership
09/01/2019,2019.0,BMW 5 Series,59157.0,2.0,North America,Mexico,Dealership
09/01/2019,2019.0,BMW X6,59493.0,4.0,North America,United States,Wholesale
10/01/2019,2019.0,BMW M5,89019.0,4.0,Europe,Italy,Dealership
10/01/2019,2019.0,BMW 8 Series,113748.0,4.0,North America,Mexico,Wholesale
10/01/2019,2019.0,BMW 8 Series,68568.0,3.0,North America,Canada,Wholesale
11/01/2019,2019.0,BMW M4,118264.0,2.0,Europe,France,Wholesale
12/01/2019,2019.0,BMW X1,78586.0,3.0,Europe,Spain,Wholesale
12/01/2019,2019.0,BMW M4,44063.0,4.0,North America,Mexico,Wholesale
12/01/2019,2019.0,BMW 2 Series,82810.0,4.0,South America,Argentina,Dealership
0,0.0,0,0.0,0.0,0,0,0
13/01/2019,2019.0,BMW M4,99626.0,2.0,Asia,Japan,Wholesale
13/01/2019,2019.0,BMW X5,118393.0,1.0,North America,United States,Wholesale
14/01/2019,2019.0,BMW i4,93737.0,3.0,Asia,China,Dealership
15/01/2019,2019.0,BMW M8,101997.0,1.0,South America,Colombia,Wholesale
15/01/2019,2019.0,BMW X1,107838.0,4.0,Africa,Kenya,Dealership
15/01/2019,2019.0,BMW 6 Series,53877.0,4.0,Asia,South Korea,Dealership
16/01/2019,2019.0,BMW iX,73420.0,5.0,South America,Brazil,Wholesale
16/01/2019,2019.0,BMW M2,112782.0,5.0,South America,Peru,Dealership
16/01/2019,2019.0,BMW iX,100875.0,1.0,Asia,China,Wholesale
16/01/2019,2019.0,BMW i8,55094.0,5.0,Asia,India,Dealership
17/01/2019,2019.0,BMW X6,104500.0,2.0,Europe,Spain,Wholesale
17/01/2019,2019.0,BMW M3,60373.0,1.0,South America,Colombia,Wholesale
17/01/2019,2019.0,BMW 8 Series,53898.0,5.0,Africa,Egypt,Wholesale
17/01/2019,2019.0,BMW 2 Series,77937.0,5.0,South America,Brazil,Dealership
18/01/2019,2019.0,BMW i3,66388.0,2.0,Asia,China,Wholesale
18/01/2019,2019.0,BMW 5 Series,118627.0,2.0,North America,Mexico,Dealership
18/01/2019,2019.0,BMW 5 Series,112462.0,1.0,Africa,Egypt,Wholesale
19/01/2019,2019.0,BMW Z4,64030.0,3.0,Africa,Egypt,Dealership
19/01/2019,2019.0,BMW i3,91913.0,2.0,South America,Argentina,Wholesale
19/01/2019,2019.0,BMW 5 Series,53184.0,5.0,North America,Mexico,Dealership
19/01/2019,2019.0,BMW 2 Series,76721.0,1.0,Asia,Japan,Wholesale
19/01/2019,2019.0,BMW 4 Series,103236.0,3.0,Asia,Japan,Wholesale
20/01/2019,2019.0,BMW i3,72296.0,1.0,Europe,Italy,Dealership
20/01/2019,2019.0,BMW M4,34286.0,5.0,South America,Chile,Dealership
21/01/2019,2019.0,BMW i3,117156.0,3.0,South America,Colombia,Wholesale
21/01/2019,2019.0,BMW M8,73639.0,3.0,North America,Canada,Wholesale
21/01/2019,2019.0,BMW 6 Series,60431.0,2.0,South America,Argentina,Wholesale
21/01/2019,2019.0,BMW M5,92363.0,4.0,Africa,Egypt,Dealership
21/01/2019,2019.0,BMW iX3,45072.0,5.0,Europe,Germany,Wholesale
21/01/2019,2019.0,BMW 6 Series,40916.0,4.0,Africa,South Africa,Wholesale
22/01/2019,2019.0,BMW 7 Series,77369.0,5.0,South America,Colombia,Wholesale
22/01/2019,2019.0,BMW iX3,48946.0,1.0,North America,United States,Wholesale
23/01/2019,2019.0,BMW 6 Series,51863.0,4.0,South America,Peru,Dealership
23/01/2019,2019.0,BMW Z4,90064.0,3.0,Europe,Germany,Wholesale
24/01/2019,2019.0,BMW X5,90656.0,2.0,Europe,France,Wholesale
24/01/2019,2019.0,BMW M8,53545.0,5.0,Europe,United Kingdom,Wholesale
24/01/2019,2019.0,BMW X1,54019.0,2.0,Africa,Kenya,Wholesale
25/01/2019,2019.0,BMW M2,86625.0,5.0,Europe,Germany,Dealership
26/01/2019,2019.0,BMW 5 Series,81701.0,3.0,North America,United States,Wholesale
27/01/2019,2019.0,BMW M2,57386.0,3.0,South America,Brazil,Wholesale
28/01/2019,2019.0,BMW 7 Series,105769.0,3.0,Asia,India,Dealership
28/01/2019,2019.0,BMW X2,47822.0,3.0,Africa,Kenya,Wholesale
28/01/2019,2019.0,BMW M2,105462.0,3.0,South America,Brazil,Wholesale
28/01/2019,2019.0,BMW M5,70023.0,2.0,Europe,United Kingdom,Wholesale
28/01/2019,2019.0,BMW M3,85878.0,1.0,Europe,France,Wholesale
